Model,Dataset,ROC-AUC,PR-AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,TP,FP,FN,TN
Decision Tree Before Tuning,Train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5544,0,0,43132
Decision Tree Before Tuning,Validation,0.5232,0.1198,0.7786,0.5232,0.1448,0.1923,0.1652,457,2699,1919,15787
Decision Tree Before Tuning,Test,0.5179,0.1182,0.7711,0.5179,0.1367,0.19,0.159,645,4073,2749,22335
Random Forest Before Tuning,Train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5544,0,0,43132
Random Forest Before Tuning,Validation,0.5977,0.15,0.8768,0.5026,0.153,0.0181,0.0324,43,238,2333,18248
Random Forest Before Tuning,Test,0.601,0.1556,0.8781,0.5056,0.1995,0.0233,0.0417,79,317,3315,26091
Gradient Boosting Before Tuning,Train,0.5817,0.1483,0.8637,0.5127,0.1858,0.0581,0.0885,322,1411,5222,41721
Gradient Boosting Before Tuning,Validation,0.5596,0.1367,0.86,0.508,0.1564,0.0522,0.0783,124,669,2252,17817
Gradient Boosting Before Tuning,Test,0.5654,0.1381,0.8615,0.5103,0.1698,0.0557,0.0839,189,924,3205,25484
XGBoost Before Tuning,Train,0.7905,0.3508,0.888,0.564,0.5312,0.1445,0.2272,801,707,4743,42425
XGBoost Before Tuning,Validation,0.5992,0.1565,0.8675,0.5124,0.1956,0.0526,0.0829,125,514,2251,17972
XGBoost Before Tuning,Test,0.6061,0.1588,0.8678,0.5123,0.1962,0.0519,0.082,176,721,3218,25687
LightGBM Before Tuning,Train,0.6836,0.1988,0.877,0.5154,0.2707,0.0473,0.0805,262,706,5282,42426
LightGBM Before Tuning,Validation,0.6144,0.1578,0.8716,0.5063,0.1717,0.0332,0.0557,79,381,2297,18105
LightGBM Before Tuning,Test,0.6184,0.1597,0.8725,0.5096,0.1994,0.0398,0.0663,135,542,3259,25866
Logistic Regression Before Tuning,Train,0.5742,0.1439,0.864,0.5095,0.1713,0.0505,0.078,280,1355,5264,41777
Logistic Regression Before Tuning,Validation,0.565,0.1427,0.8645,0.5133,0.1909,0.0585,0.0896,139,589,2237,17897
Logistic Regression Before Tuning,Test,0.571,0.1429,0.8642,0.5091,0.169,0.0492,0.0762,167,821,3227,25587
MLP Before Tuning,Train,0.7099,0.2274,0.8779,0.5235,0.3214,0.0646,0.1075,358,756,5186,42376
MLP Before Tuning,Validation,0.6107,0.1578,0.8712,0.5092,0.1905,0.0404,0.0667,96,408,2280,18078
MLP Before Tuning,Test,0.608,0.16,0.8711,0.5111,0.2027,0.0448,0.0734,152,598,3242,25810
Decision Tree After Tuning,Train,0.9969,0.9709,0.9761,0.9654,0.8548,0.9517,0.9006,5276,896,268,42236
Decision Tree After Tuning,Validation,0.5215,0.1194,0.7674,0.5187,0.137,0.1965,0.1614,467,2943,1909,15543
Decision Tree After Tuning,Test,0.5301,0.1219,0.7722,0.5265,0.147,0.2083,0.1724,707,4102,2687,22306
Random Forest After Tuning,Train,0.9984,0.9818,0.9503,0.787,0.9806,0.5754,0.7252,3190,63,2354,43069
Random Forest After Tuning,Validation,0.5989,0.1536,0.8763,0.504,0.1688,0.0219,0.0387,52,256,2324,18230
Random Forest After Tuning,Test,0.5972,0.1555,0.8774,0.5078,0.2162,0.0292,0.0514,99,359,3295,26049
Gradient Boosting After Tuning,Train,0.6764,0.2063,0.8741,0.5268,0.2965,0.077,0.1223,427,1013,5117,42119
Gradient Boosting After Tuning,Validation,0.5923,0.152,0.8655,0.5108,0.1813,0.0513,0.08,122,551,2254,17935
Gradient Boosting After Tuning,Test,0.5953,0.1521,0.8663,0.5118,0.1886,0.0527,0.0824,179,770,3215,25638
XGBoost After Tuning,Train,0.6673,0.1969,0.8749,0.5215,0.2827,0.0639,0.1042,354,898,5190,42234
XGBoost After Tuning,Validation,0.5897,0.1496,0.8668,0.5087,0.1734,0.045,0.0715,107,510,2269,17976
XGBoost After Tuning,Test,0.5981,0.1524,0.8691,0.5102,0.1892,0.0454,0.0732,154,660,3240,25748
LightGBM After Tuning,Train,0.9858,0.891,0.9441,0.7724,0.9313,0.55,0.6915,3049,225,2495,42907
LightGBM After Tuning,Validation,0.6079,0.1597,0.8724,0.5104,0.205,0.0417,0.0693,99,384,2277,18102
LightGBM After Tuning,Test,0.6158,0.1651,0.873,0.514,0.23,0.0492,0.0811,167,559,3227,25849
Logistic Regression After Tuning,Train,0.574,0.1437,0.864,0.5094,0.1704,0.0501,0.0775,278,1353,5266,41779
Logistic Regression After Tuning,Validation,0.565,0.1431,0.8652,0.5142,0.1969,0.0598,0.0917,142,579,2234,17907
Logistic Regression After Tuning,Test,0.571,0.1432,0.864,0.509,0.1682,0.0492,0.0761,167,826,3227,25582
MLP After Tuning,Train,0.6903,0.2069,0.8785,0.5141,0.2789,0.0422,0.0733,234,605,5310,42527
MLP After Tuning,Validation,0.6246,0.1602,0.8722,0.5026,0.1411,0.024,0.041,57,347,2319,18139
MLP After Tuning,Test,0.6304,0.1658,0.8722,0.5047,0.1604,0.0289,0.0489,98,513,3296,25895
Stacking Ensemble Before Tuning,Train,0.9998,0.9974,0.9976,0.9982,0.9802,0.9989,0.9895,5538,112,6,43020
Stacking Ensemble Before Tuning,Validation,0.513,0.1196,0.8812,0.5012,0.1497,0.0093,0.0174,22,125,2354,18361
Stacking Ensemble Before Tuning,Test,0.527,0.1267,0.8818,0.5031,0.1991,0.0127,0.0238,43,173,3351,26235
Stacking Ensemble After Tuning - GB Meta,Train,0.9879,0.9081,0.9216,0.6615,0.9615,0.3247,0.4854,1800,72,3744,43060
Stacking Ensemble After Tuning - GB Meta,Validation,0.5413,0.1315,0.88,0.503,0.1768,0.0147,0.0272,35,163,2341,18323
Stacking Ensemble After Tuning - GB Meta,Test,0.5422,0.1352,0.8808,0.5048,0.2179,0.018,0.0332,61,219,3333,26189
