feature,mean_abs_shap
num__number_inpatient,0.25342992
num__discharge_disposition_id,0.21273804
num__prior_utilization_total,0.0740249
num__age_numeric,0.06678217
num__number_diagnoses,0.0562413
num__time_in_hospital,0.05562664
cat__diag_1_group_Circulatory,0.044597205
num__num_medications,0.042368863
cat__diag_1_group_Respiratory,0.037480265
num__num_lab_procedures,0.03629023
num__diabetesMed_binary,0.027801232
num__admission_type_id,0.02590287
num__num_procedures,0.024876472
num__admission_source_id,0.02206773
num__number_emergency,0.020754285
cat__metformin_Steady,0.020098986
cat__insulin_Down,0.019305682
cat__insulin_No,0.017761918
cat__diag_1_group_Diabetes,0.016783059
cat__diag_2_group_Diabetes,0.016583856
cat__metformin_No,0.016061205
cat__diag_1_group_Musculoskeletal,0.015750932
num__number_outpatient,0.015373379
cat__diabetesMed_No,0.014020598
num__hba1c_high,0.013678835
cat__diag_2_group_Neoplasms,0.013406705
cat__diag_2_group_Other,0.011806552
cat__diag_3_group_Other,0.011348707
cat__diag_3_group_Circulatory,0.011033755
cat__diag_2_group_Respiratory,0.0103246765
cat__diag_3_group_Respiratory,0.008871466
cat__gender_Female,0.008698967
cat__race_AfricanAmerican,0.008517255
cat__diag_3_group_Genitourinary,0.007901756
cat__glyburide_No,0.0075141685
cat__rosiglitazone_No,0.007472429
cat__insulin_Steady,0.007138312
cat__diag_3_group_Diabetes,0.007124343
cat__glipizide_No,0.007102368
cat__pioglitazone_No,0.0062252763
cat__diag_1_group_Injury,0.0061466526
num__med_changed,0.006031739
cat__A1Cresult_>8,0.0059191617
cat__diag_2_group_Musculoskeletal,0.005278226
cat__race_Caucasian,0.0051242574
cat__diag_1_group_Other,0.0050024465
cat__diag_2_group_Circulatory,0.0049874634
cat__insulin_Up,0.004911867
cat__diag_3_group_Neoplasms,0.0044870703
cat__diag_2_group_Genitourinary,0.00445016
cat__glimepiride_Steady,0.0043803873
cat__A1Cresult_Norm,0.004258472
cat__gender_Male,0.004255378
cat__diag_1_group_Digestive,0.004164543
cat__glimepiride_No,0.0038214433
cat__diag_1_group_Genitourinary,0.0037256961
cat__glipizide_Steady,0.0037248922
cat__diag_1_group_Neoplasms,0.0035425602
cat__diag_3_group_Digestive,0.003380066
cat__pioglitazone_Steady,0.0032761374
cat__diabetesMed_Yes,0.0030497762
cat__glyburide_Steady,0.0029456706
cat__diag_2_group_Digestive,0.0027263667
cat__change_Ch,0.0025735786
cat__metformin_Up,0.0023529516
cat__max_glu_serum_Norm,0.0021809945
cat__diag_3_group_Injury,0.0021243137
cat__race_Hispanic,0.0019367138
cat__diag_3_group_Musculoskeletal,0.0018803475
cat__rosiglitazone_Steady,0.0017779613
cat__glyburide_Down,0.0012558339
cat__diag_2_group_Injury,0.0011214823
cat__race_Other,0.000991419
cat__A1Cresult_>7,0.00094067043
cat__change_No,0.00089323777
cat__race_Asian,0.0008775113
cat__max_glu_serum_>300,0.00077731034
cat__max_glu_serum_>200,0.0007740253
cat__rosiglitazone_Up,0.00077081047
cat__glipizide_Down,0.00076149596
cat__metformin_Down,0.000734031
cat__glyburide_Up,0.0006452082
cat__rosiglitazone_Down,0.00064230757
cat__glipizide_Up,0.00054490747
cat__pioglitazone_Up,0.00014655525
cat__glimepiride_Down,9.912957e-05
cat__glimepiride_Up,4.21434e-05
cat__pioglitazone_Down,4.039017e-05
