Threshold,Accuracy,Precision Class 1,Recall Class 1,F1 Class 1,False Negatives,False Positives,Confusion Matrix
0.1,0.11405274813770888,0.1138800785379852,0.9995581087052585,0.2044653349001175,1,17601,"[[4, 17601], [1, 2262]]"
0.15,0.11863297765250655,0.1144042079708679,0.9995581087052585,0.20530973451327433,1,17510,"[[95, 17510], [1, 2262]]"
0.2,0.13821220052345481,0.11634391944229279,0.9955810870525851,0.20834103939337895,10,17112,"[[493, 17112], [10, 2253]]"
0.25,0.1856754580229515,0.12048652776262682,0.9761378700839594,0.2144972568820702,54,16125,"[[1480, 16125], [54, 2209]]"
0.3,0.26776726394201733,0.128739800543971,0.9412284577993814,0.22649936197362824,133,14415,"[[3190, 14415], [133, 2130]]"
0.35,0.3702436078115563,0.13975395430579965,0.8784798939460893,0.2411450752062106,275,12237,"[[5368, 12237], [275, 1988]]"
0.4,0.47060599959734245,0.1508332628373234,0.7878921785240831,0.2531951150241409,480,10038,"[[7567, 10038], [480, 1783]]"
0.45,0.5746929736259312,0.16811500911919322,0.6924436588599204,0.27054558011049723,696,7754,"[[9851, 7754], [696, 1567]]"
0.5,0.6694684920475136,0.18675400291120814,0.5669465311533363,0.2809591590933976,980,5587,"[[12018, 5587], [980, 1283]]"
0.55,0.7534225890879807,0.21197552447552448,0.42863455589924876,0.28366720280742797,1293,3606,"[[13999, 3606], [1293, 970]]"
0.6,0.8134688947050533,0.2456820585125132,0.30799823243482105,0.2733333333333333,1566,2140,"[[15465, 2140], [1566, 697]]"
0.65,0.8521743507147171,0.29094292803970223,0.2072470172337605,0.24206451612903226,1794,1143,"[[16462, 1143], [1794, 469]]"
0.7,0.8719549023555466,0.33643771827706637,0.12770658418029165,0.185137732222934,1974,570,"[[17035, 570], [1974, 289]]"
0.75,0.8817193476947855,0.4018058690744921,0.07865665046398586,0.13155949741315595,2085,265,"[[17340, 265], [2085, 178]]"
0.8,0.8854942621300584,0.4714285714285714,0.043747238179407864,0.08006469874646178,2164,111,"[[17494, 111], [2164, 99]]"
0.85,0.88574592309241,0.4461538461538462,0.012814847547503314,0.02491408934707904,2234,36,"[[17569, 36], [2234, 29]]"
0.9,0.8864002415945239,0.6666666666666666,0.005302695536897923,0.01052170100832968,2251,6,"[[17599, 6], [2251, 12]]"
